,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
17,2535,31.0,4.9,Sunny,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,22,20002.52025703129
18,22011,24.0,4.7,Sunny,Low,0,Snack,motorcycle,0.0,No,Metropolitian,17,20002.52025703129
19,43904,30.0,4.7,Windy,Low,1,Buffet,scooter,0.0,No,Urban,23,20002.520257028576
20,1800,38.0,4.0,Stormy,Jam,0,Drinks,motorcycle,0.0,Yes,Metropolitian,46,20002.52025702837
21,9611,22.0,4.7,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,29,20002.52025702837
22,38314,31.0,4.2,Windy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,38,20002.520257028355
23,9436,24.0,4.6,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,11,20002.520257028355
24,27601,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,32,20002.520257028355
25,8878,24.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Urban,24,20002.520257028125
26,314,36.0,4.7,Sandstorms,High,2,Meal,scooter,2.0,No,Metropolitian,32,20002.520257028125
27,949,28.0,4.5,Cloudy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520257028125
28,7806,35.0,4.7,Stormy,Low,1,Snack,motorcycle,0.0,No,Urban,28,20002.520257027973
29,28177,21.0,4.6,Fog,High,2,Drinks,electric_scooter,0.0,No,Metropolitian,21,20002.520257027798
30,1054,22.0,4.8,Fog,Low,1,Snack,scooter,0.0,No,Metropolitian,13,20002.520257027798
31,34583,,,,,0,Snack,motorcycle,3.0,No,Metropolitian,45,20002.520257027798
32,23632,29.0,4.7,Cloudy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,10,20002.520257023803
33,25417,27.0,4.9,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,48,20002.520257023803
34,25840,39.0,4.8,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,20,20002.520257023803
35,9815,38.0,4.5,Stormy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.520257019383
36,35747,36.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,20002.520257019383
37,37757,31.0,4.9,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520257019383
38,10039,22.0,4.7,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,21,20002.520257017437
39,16935,30.0,4.6,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,28,20002.520257017437
40,14290,21.0,4.6,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.520257017437
41,23242,36.0,5.0,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,34,20002.520257017288
42,670,27.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,11,20002.520257017288
43,30041,32.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.520257017288
44,40047,38.0,4.7,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,44,20002.520257017288
45,40087,22.0,4.9,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,24,20002.52025699965
46,24576,21.0,4.8,Stormy,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,17,20002.520256255022
47,33195,25.0,4.6,Cloudy,Low,2,Meal,motorcycle,1.0,No,Urban,12,20002.520256255022
48,14794,35.0,4.7,Fog,High,1,Meal,motorcycle,0.0,No,Urban,33,20002.52025624634
49,23675,27.0,5.0,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.52025624634
50,4197,33.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,24,20002.52025624097
51,33148,,,Sandstorms,Low,1,Meal,scooter,0.0,No,Metropolitian,28,20002.52025624097
52,2485,21.0,4.8,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,21,20002.520256238895
53,20003,38.0,4.8,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,,27,20002.520256238895
54,38388,33.0,4.6,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,20002.520256236596
55,8093,35.0,4.0,Windy,Jam,1,Drinks,motorcycle,,No,Metropolitian,34,20002.520256236596
56,21704,29.0,4.8,Sunny,Medium,1,Snack,scooter,0.0,No,Metropolitian,13,20002.520256217802
57,34092,31.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,27,20002.520256217802
58,7657,23.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520256217802
59,11281,32.0,4.8,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,28,20002.520256211184
60,30319,36.0,4.5,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,35,20002.520256211184
61,262,36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20002.520256211184
62,37958,39.0,5.0,Windy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,37,20002.520256208547
63,33067,21.0,5.0,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.520256208547
64,36812,34.0,4.4,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520256208547
65,23726,20.0,4.5,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Urban,29,20002.520256208547
66,10497,38.0,4.3,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,20002.520256200485
67,17394,37.0,5.0,Sandstorms,High,1,Drinks,scooter,0.0,No,Metropolitian,26,20002.520256200485
68,13467,21.0,4.6,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,15,20002.520256200485
69,1035,25.0,4.5,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,16,20002.520256200485
70,4441,35.0,4.6,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Urban,18,20002.52025619676
71,17931,36.0,4.6,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,23,20002.52025619676
72,24154,35.0,4.2,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,35,20002.52025619676
73,13172,34.0,5.0,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,30,20002.52025619676
74,44836,35.0,4.7,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,20002.52025619003
75,18055,39.0,4.8,Windy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,34,20002.52025619003
76,11202,29.0,4.7,Fog,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.52025619003
77,35267,37.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,,26,20002.520256189728
78,19537,25.0,4.9,Stormy,Low,2,Meal,scooter,0.0,No,Urban,16,20002.520256189728
79,13922,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520256189728
80,36249,27.0,4.8,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,15,20002.520256177275
81,13399,37.0,4.9,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.520256177275
82,10294,39.0,4.1,Stormy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,42,20002.520251727365
83,44565,20.0,4.7,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,21,20002.520251676986
84,39581,29.0,4.8,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520251676986
85,3115,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,29,20002.5202516745
86,10157,,,Fog,Jam,2,Snack,electric_scooter,1.0,No,,45,20002.5202516745
87,32194,27.0,4.7,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,23,20002.5202516745
88,12638,39.0,4.7,Stormy,High,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.5202516745
89,26292,32.0,4.9,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.5202516745
90,35104,25.0,4.6,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.5202516745
91,18374,36.0,4.6,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20002.5202516745
92,25210,38.0,4.5,Fog,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,26,20002.5202516745
93,19117,37.0,4.8,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,30,20002.520251672508
94,19941,38.0,4.8,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,20,20002.520251672508
95,38232,,,,,3,Buffet,scooter,1.0,,Urban,11,20002.520251672508
96,18054,25.0,5.0,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520251672293
97,3275,22.0,4.7,Fog,Low,1,Snack,motorcycle,1.0,No,Urban,22,20002.520251672293
98,32738,24.0,4.8,Sandstorms,High,2,Meal,scooter,0.0,No,Metropolitian,19,20002.520251672293
99,22738,38.0,4.0,Cloudy,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,42,20002.520251672246
100,36793,20.0,4.6,Windy,Medium,1,Meal,scooter,0.0,No,Metropolitian,16,20002.520251672246
101,17101,28.0,4.9,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.520251671245
102,9901,34.0,4.8,Sunny,High,0,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.520251671245
103,14994,23.0,4.9,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,21,20002.520251671245
104,9069,28.0,4.6,Stormy,Low,2,Meal,motorcycle,0.0,No,,14,20002.520251671245
105,33792,34.0,4.6,Sunny,Jam,1,Meal,scooter,0.0,No,Urban,22,20002.520251671245
106,29419,25.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,20002.520251671107
107,15942,34.0,4.5,Fog,Low,1,Meal,scooter,1.0,No,,16,20002.520251671107
108,36771,30.0,4.8,Fog,Low,2,Snack,scooter,0.0,No,Urban,26,20002.520251669677
109,39769,25.0,4.7,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Urban,12,20002.520251669677
110,37735,25.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,21,20002.520251669677
111,39290,,,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,23,20002.520251668342
112,9410,29.0,4.5,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,25,20002.520251668342
113,43177,37.0,4.6,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520251668342
114,23119,28.0,4.6,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,20002.520251666898
115,2482,32.0,4.4,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,20002.520251666898
116,28350,35.0,5.0,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.520251666898
117,3835,22.0,4.7,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251666898
118,11634,24.0,3.7,Sunny,Jam,0,Drinks,motorcycle,1.0,Yes,Urban,45,20002.52025139077
119,11977,30.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,30,20002.52025139077
120,6499,22.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,14,20002.52025139077
121,36361,37.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,28,20002.52025139077
122,41982,20.0,4.9,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,21,20002.52025139077
123,466,25.0,4.8,Windy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,26,20002.52025139077
124,12408,30.0,4.7,Stormy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.52025139077
125,42645,31.0,4.8,Cloudy,Jam,1,Snack,scooter,2.0,No,,39,20002.52025139077
126,13926,32.0,4.8,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,29,20002.52025139077
127,44999,31.0,4.7,Fog,Low,1,Drinks,scooter,0.0,No,Urban,15,20002.52025139077
128,2062,29.0,4.8,Fog,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,20002.52025139077
129,34089,31.0,4.8,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,25,20002.520251342885
130,29158,36.0,4.8,Sunny,High,0,Meal,motorcycle,0.0,No,Urban,29,20002.520251342885
131,41217,23.0,4.8,Windy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.520251342885
132,32049,34.0,4.7,Cloudy,Medium,1,Buffet,scooter,1.0,No,Urban,16,20002.520251342885
133,38383,39.0,4.7,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.520251342885
134,17245,39.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,24,20002.520251342885
135,21062,35.0,4.5,Stormy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,38,20002.520251342885
136,29510,,,,,3,Meal,motorcycle,0.0,No,Metropolitian,21,20002.520251342885
137,40024,21.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251332953
138,27990,31.0,4.8,Sandstorms,Low,2,Snack,scooter,,No,Metropolitian,18,20002.520251332953
139,18033,32.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,24,20002.520251332953
140,9958,23.0,4.8,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,27,20002.520251332953
141,21250,24.0,4.8,Cloudy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,16,20002.520251332953
142,13319,,,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Semi-Urban,52,20002.520251332953
143,24158,22.0,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Urban,18,20002.520251332953
144,23068,25.0,4.8,Cloudy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,36,20002.520251332953
145,37170,25.0,4.8,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,19,20002.520251332953
146,2673,39.0,4.8,Fog,High,0,Buffet,motorcycle,0.0,No,Metropolitian,34,20002.520251332953
147,14319,37.0,4.3,Fog,High,1,Buffet,scooter,2.0,No,Metropolitian,35,20002.520251332953
148,43753,33.0,4.8,Fog,High,1,Drinks,scooter,1.0,No,Urban,38,20002.520251332953
149,9542,26.0,4.7,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,41,20002.520251332953
150,29052,28.0,4.8,Sunny,High,1,Meal,scooter,0.0,No,Urban,13,20002.520251332953
151,26748,27.0,4.9,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,13,20002.520251332953
152,38724,29.0,4.6,Sunny,Medium,1,Meal,motorcycle,0.0,No,,18,20002.520251332742
153,11109,31.0,4.7,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,,25,20002.520251332742
154,19643,35.0,4.5,Sunny,Low,2,Drinks,electric_scooter,1.0,No,Urban,16,20002.520251332742
155,28795,30.0,4.3,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Urban,21,20002.520251332742
156,42927,33.0,4.2,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.520251332742
157,24343,25.0,4.1,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520251332742
158,26531,39.0,4.6,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29,20002.520251332742
159,36051,35.0,4.7,Sunny,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,18,20002.520251332742
160,35544,34.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,24,20002.520251332742
161,24682,39.0,4.9,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Urban,27,20002.520251332055
162,15368,27.0,4.7,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.520251332055
163,29178,36.0,4.6,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,38,20002.520251332055
164,34440,37.0,4.5,Cloudy,Low,1,Snack,scooter,0.0,No,Metropolitian,19,20002.520251332055
165,17155,28.0,5.0,Windy,Medium,2,Snack,scooter,1.0,No,,23,20002.520251332055
166,16219,37.0,4.7,Sunny,Low,0,Snack,motorcycle,0.0,No,Metropolitian,23,20002.520251332055
167,39583,28.0,4.5,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,23,20002.520251332055
168,21848,39.0,4.7,Stormy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251332055
169,35054,38.0,5.0,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520251332055
170,21108,29.0,4.7,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,18,20002.520251332055
171,38947,33.0,4.7,Cloudy,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,28,20002.520251332055
172,40669,26.0,4.8,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,33,20002.520251332055
173,7188,33.0,4.9,Windy,High,0,Snack,motorcycle,0.0,No,Urban,30,20002.520251332055
174,8387,21.0,4.6,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251332055
175,43282,30.0,4.4,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,41,20002.520251332055
176,6129,39.0,4.8,Windy,Medium,1,Meal,scooter,0.0,No,Metropolitian,30,20002.520251332055
177,41588,26.0,4.6,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,22,20002.520251329926
178,29547,35.0,4.9,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,15,20002.520251329926
179,20925,,,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520251329926
180,20672,37.0,4.6,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251329926
181,43118,34.0,4.6,Sunny,High,1,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.520251329926
182,2652,27.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,47,20002.520251329926
183,25078,33.0,3.5,Stormy,Medium,1,Drinks,motorcycle,2.0,No,Metropolitian,38,20002.520251329926
184,100,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20002.520251329926
185,26828,24.0,4.9,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,20002.520251329926
186,32516,25.0,4.6,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,15,20002.520251329926
187,42158,,,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.520251329926
188,45521,35.0,4.9,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520251329177
189,42107,20.0,4.9,Sunny,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,17,20002.520251329177
190,38393,28.0,4.9,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Urban,17,20002.520251329177
191,15119,28.0,4.8,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.520251329177
192,23795,22.0,4.3,Fog,Jam,1,Buffet,scooter,1.0,No,Urban,33,20002.520251329177
193,23805,37.0,4.7,Cloudy,Low,0,Snack,motorcycle,1.0,No,,20,20002.520251329177
194,32963,32.0,4.7,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.520251329177
195,27751,38.0,4.5,Stormy,Low,0,Snack,motorcycle,0.0,No,Urban,22,20002.520251329177
196,30003,38.0,4.3,Cloudy,Jam,2,Snack,scooter,2.0,No,Metropolitian,39,20002.520251329177
197,15391,36.0,4.9,Windy,Medium,0,Meal,motorcycle,2.0,No,Urban,48,20002.520251329177
198,5732,,,Fog,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.520251327653
199,38371,33.0,4.0,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.520251327653
200,44554,25.0,4.6,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,25,20002.520251327653
201,3787,35.0,4.7,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,26,20002.520251327653
202,3284,29.0,5.0,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,16,20002.520251327653
203,38259,26.0,4.8,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,22,20002.520251327653
204,35136,29.0,4.5,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,16,20002.520251327653
205,4520,24.0,4.7,Windy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,26,20002.520251327653
206,31970,34.0,4.0,Cloudy,Jam,2,Buffet,electric_scooter,0.0,No,Semi-Urban,49,20002.520251320853
207,38295,31.0,4.1,Fog,Jam,1,Drinks,motorcycle,1.0,No,Urban,43,20002.520251320853
208,11029,28.0,4.9,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251320853
209,23909,37.0,4.1,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20002.520251320853
210,27007,,,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,16,20002.520251320853
211,31633,35.0,5.0,Sunny,Low,1,Meal,scooter,1.0,No,,28,20002.520251320853
212,23439,34.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37,20002.520251320853
213,12997,32.0,4.8,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,48,20002.520251320853
214,44306,29.0,5.0,Fog,Jam,0,Drinks,motorcycle,,Yes,Metropolitian,42,20002.520251320853
215,16118,31.0,4.9,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,31,20002.520251320853
216,25120,29.0,4.8,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,17,20002.520251320853
217,23874,31.0,4.7,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,21,20002.520251320722
218,27729,24.0,4.8,Windy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251320722
219,36920,23.0,4.8,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,20,20002.520251320722
220,17274,29.0,3.8,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,42,20002.520251320722
221,23843,23.0,4.6,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,20,20002.520251320722
222,36957,21.0,4.9,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,20002.520251320722
223,3337,23.0,5.0,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,11,20002.520251320722
224,3446,23.0,4.7,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.520251320722
225,9152,36.0,5.0,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.520251320722
226,30630,34.0,4.2,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.520251320722
227,42832,32.0,4.7,Windy,Medium,0,Snack,motorcycle,1.0,No,Semi-Urban,49,20002.520251320722
228,22026,25.0,4.5,Stormy,Low,1,Snack,motorcycle,0.0,No,Urban,12,20002.520251320722
229,39284,26.0,4.8,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,14,20002.520251320722
230,29252,31.0,4.9,Windy,Jam,1,Buffet,motorcycle,0.0,No,Urban,32,20002.52025131765
231,40513,36.0,4.8,Stormy,High,1,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.52025131765
232,8793,23.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,14,20002.52025131765
233,1993,31.0,4.4,Cloudy,Medium,1,Snack,scooter,1.0,Yes,Metropolitian,44,20002.52025131765
234,15669,23.0,4.5,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.52025131765
235,39147,34.0,4.9,Windy,Medium,2,Snack,scooter,0.0,No,Urban,23,20002.52025131765
236,41508,20.0,4.9,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.52025131765
237,25595,37.0,4.8,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Urban,29,20002.52025131765
238,12423,38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20002.52025131765
239,30390,28.0,4.6,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,24,20002.520251317605
240,27073,34.0,4.7,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.520251317605
241,6188,28.0,4.8,Fog,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,26,20002.520251317605
242,44339,33.0,4.9,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,28,20002.520251317605
243,41229,20.0,5.0,Fog,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,35,20002.520251317605
244,29528,34.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,39,20002.520251317605
245,9677,33.0,4.5,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520251317605
246,20384,29.0,4.6,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,11,20002.520251317605
247,19217,37.0,4.7,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,19,20002.520251317605
248,22297,38.0,4.8,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,20,20002.520251317605
249,19867,37.0,4.7,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,22,20002.520251316964
